epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96632,1.7706,5.29792,2.92334,1.90797,0.00333,1,0.4975,0.24875,0.00333,1,0.995,0.597,1.62996,2.49758,4.11325,1.92428,0,0,0
2,3.80813,1.45298,4.10022,2.95616,1.56884,0.00333,1,0.4975,0.23217,0.00333,1,0.995,0.597,1.67025,2.31396,4.05318,1.91718,1.901e-05,1.901e-05,1.901e-05
3,5.49919,1.53531,4.23824,3.01797,1.4906,0.00333,1,0.4975,0.22743,0.00333,1,0.995,0.597,1.68605,2.20055,4.0404,1.95789,3.604e-05,3.604e-05,3.604e-05
4,7.17291,1.75526,4.1289,3.052,1.70365,0.00333,1,0.4975,0.21321,0.00333,1,0.995,0.4975,1.68373,2.15234,3.73009,1.96772,5.109e-05,5.109e-05,5.109e-05
5,8.81922,1.49925,3.58807,2.83313,1.54362,0.00333,1,0.4975,0.17412,0.00333,1,0.995,0.4975,1.48707,2.04128,3.94799,1.79441,6.416e-05,6.416e-05,6.416e-05
6,10.3301,1.58448,3.12649,2.96711,1.54081,0.00333,1,0.4975,0.17768,0.00333,1,0.995,0.4975,1.45251,2.2957,4.22229,1.71356,7.525e-05,7.525e-05,7.525e-05
7,11.8997,1.47783,2.94304,2.85394,1.60882,0.00333,1,0.33167,0.14262,0.00333,1,0.995,0.44775,1.40218,2.73161,3.81109,1.57118,8.436e-05,8.436e-05,8.436e-05
8,13.4815,1.05148,2.4245,2.86299,1.32753,0.00333,1,0.4975,0.14925,0.00333,1,0.995,0.38805,1.11895,3.26053,3.74713,1.39239,9.149e-05,9.149e-05,9.149e-05
9,15.0444,1.1823,2.45982,2.77087,1.37543,0.00333,1,0.4975,0.2985,0.00333,1,0.4975,0.199,0.95053,4.45305,3.73245,1.32624,9.664e-05,9.664e-05,9.664e-05
10,16.7151,0.63693,1.73763,2.74482,0.96748,0.00333,1,0.4975,0.199,0.00333,1,0.4975,0.199,0.99174,5.56494,3.8807,1.3753,9.981e-05,9.981e-05,9.981e-05
11,18.1821,0.88844,1.48101,2.64059,1.10831,0.00333,1,0.995,0.24875,0.00333,1,0.995,0.0995,1.08255,5.90001,3.89785,1.37602,0.000101,0.000101,0.000101
12,19.7031,0.88764,1.55555,2.62738,1.1557,0.00333,1,0.995,0.2691,0,0,0,0,1.06396,6.9157,3.73965,1.44172,0.00010021,0.00010021,0.00010021
13,21.1521,0.94533,1.70168,2.52107,1.17424,0.00333,1,0.995,0.60605,0.00333,1,0.995,0.6965,1.18648,7.04567,3.60354,1.38294,9.744e-05,9.744e-05,9.744e-05
14,22.598,0.87958,1.61222,2.5539,1.14096,0.00333,1,0.995,0.597,0.00333,1,0.995,0.6965,1.11366,7.7854,3.89708,1.29815,9.269e-05,9.269e-05,9.269e-05
15,24.0905,0.73808,1.38531,2.30836,1.03393,0.00333,1,0.995,0.597,0.00333,1,0.995,0.6965,1.02879,7.78758,3.67485,1.23879,8.596e-05,8.596e-05,8.596e-05
16,25.6157,0.70977,1.59865,2.32003,1.00782,0.00333,1,0.995,0.597,0.00333,1,0.995,0.6965,0.97548,7.93643,3.65539,1.2031,7.725e-05,7.725e-05,7.725e-05
17,27.2019,0.68402,1.15946,2.21255,1.01347,0.00333,1,0.995,0.597,0.00333,1,0.995,0.6965,0.92844,7.7826,3.84457,1.20196,6.656e-05,6.656e-05,6.656e-05
18,29.1849,0.53504,1.09699,2.16684,0.86499,0.00333,1,0.995,0.597,0.00333,1,0.995,0.6965,0.92844,7.7826,3.84457,1.20196,5.389e-05,5.389e-05,5.389e-05
19,30.8791,0.70309,1.24789,2.2913,1.01348,0.00333,1,0.995,0.597,0.00333,1,0.995,0.199,0.86797,9.89191,3.60566,1.0898,3.924e-05,3.924e-05,3.924e-05
20,32.4351,0.58291,0.98169,2.26814,0.87612,0.00333,1,0.995,0.597,0.00333,1,0.995,0.199,0.86797,9.89191,3.60566,1.0898,2.261e-05,2.261e-05,2.261e-05
